Time;Theta;Time(s);Theta(rad)
1161;37;1.161;0.645771823237902
1177;37;1.177;0.645771823237902
1193;37;1.193;0.645771823237902
1209;38;1.209;0.663225115757845
1225;38;1.225;0.663225115757845
1241;38;1.241;0.663225115757845
1258;38;1.258;0.663225115757845
1274;39;1.274;0.680678408277789
1290;39;1.29;0.680678408277789
1306;39;1.306;0.680678408277789
1322;39;1.322;0.680678408277789
1338;40;1.338;0.698131700797732
1354;40;1.354;0.698131700797732
1370;40;1.37;0.698131700797732
1387;40;1.387;0.698131700797732
1403;41;1.403;0.715584993317675
1419;41;1.419;0.715584993317675
1435;42;1.435;0.733038285837618
1451;42;1.451;0.733038285837618
1467;42;1.467;0.733038285837618
1483;42;1.483;0.733038285837618
1500;43;1.5;0.750491578357562
1516;43;1.516;0.750491578357562
1532;43;1.532;0.750491578357562
1548;43;1.548;0.750491578357562
1564;43;1.564;0.750491578357562
1580;44;1.58;0.767944870877505
1596;44;1.596;0.767944870877505
1612;44;1.612;0.767944870877505
1629;45;1.629;0.785398163397448
1645;45;1.645;0.785398163397448
1661;45;1.661;0.785398163397448
1677;45;1.677;0.785398163397448
1693;45;1.693;0.785398163397448
1709;45;1.709;0.785398163397448
1725;46;1.725;0.802851455917392
1741;46;1.741;0.802851455917392
1758;46;1.758;0.802851455917392
1774;46;1.774;0.802851455917392
1790;46;1.79;0.802851455917392
1806;46;1.806;0.802851455917392
1822;46;1.822;0.802851455917392
1838;47;1.838;0.820304748437335
1854;47;1.854;0.820304748437335
1870;47;1.87;0.820304748437335
1887;47;1.887;0.820304748437335
1903;47;1.903;0.820304748437335
1919;47;1.919;0.820304748437335
1935;48;1.935;0.837758040957278
1951;48;1.951;0.837758040957278
1967;48;1.967;0.837758040957278
1983;48;1.983;0.837758040957278
2000;48;2;0.837758040957278
2016;48;2.016;0.837758040957278
2032;49;2.032;0.855211333477221
2048;49;2.048;0.855211333477221
2064;49;2.064;0.855211333477221
2080;49;2.08;0.855211333477221
2096;49;2.096;0.855211333477221
2112;49;2.112;0.855211333477221
2129;49;2.129;0.855211333477221
2145;49;2.145;0.855211333477221
2161;49;2.161;0.855211333477221
2177;49;2.177;0.855211333477221
2193;50;2.193;0.872664625997165
2209;50;2.209;0.872664625997165
2225;50;2.225;0.872664625997165
2241;50;2.241;0.872664625997165
2258;50;2.258;0.872664625997165
2274;50;2.274;0.872664625997165
2290;51;2.29;0.890117918517108
2306;51;2.306;0.890117918517108
2322;51;2.322;0.890117918517108
2338;51;2.338;0.890117918517108
2354;51;2.354;0.890117918517108
2370;51;2.37;0.890117918517108
2387;51;2.387;0.890117918517108
2403;51;2.403;0.890117918517108
2419;52;2.419;0.907571211037051
2435;52;2.435;0.907571211037051
2451;52;2.451;0.907571211037051
2467;52;2.467;0.907571211037051
2483;52;2.483;0.907571211037051
2500;52;2.5;0.907571211037051
2516;52;2.516;0.907571211037051
2532;52;2.532;0.907571211037051
2548;52;2.548;0.907571211037051
2564;52;2.564;0.907571211037051
2580;52;2.58;0.907571211037051
2596;52;2.596;0.907571211037051
2612;53;2.612;0.925024503556995
2629;53;2.629;0.925024503556995
2645;53;2.645;0.925024503556995
2661;53;2.661;0.925024503556995
2677;53;2.677;0.925024503556995
2693;53;2.693;0.925024503556995
2709;53;2.709;0.925024503556995
2725;53;2.725;0.925024503556995
2741;53;2.741;0.925024503556995
2758;53;2.758;0.925024503556995
2774;54;2.774;0.942477796076938
